crime_type,crime_category
ROBBERY,Violent Crime
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,Sexual Crime
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Sexual Crime
SEXUAL PENETRATION W/FOREIGN OBJECT,Sexual Crime
SHOPLIFTING - ATTEMPT,Property Crime
SHOPLIFTING - PETTY THEFT ($950 & UNDER),Property Crime
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Property Crime
SHOTS FIRED AT INHABITED DWELLING,Weapon-related Crime
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Weapon-related Crime
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Sexual Crime
STALKING,Violent Crime
TELEPHONE PROPERTY - DAMAGE,Other Crime
THEFT FROM MOTOR VEHICLE - ATTEMPT,Vehicle-related Crime
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),Vehicle-related Crime
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Vehicle-related Crime
THEFT FROM PERSON - ATTEMPT,Property Crime
THEFT OF IDENTITY,Property Crime
THEFT PLAIN - ATTEMPT,Property Crime
THEFT PLAIN - PETTY ($950 & UNDER),Property Crime
"THEFT, COIN MACHINE - ATTEMPT",Property Crime
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",Property Crime
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",Property Crime
"THEFT, PERSON",Property Crime
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Property Crime
THREATENING PHONE CALLS/LETTERS,Violent Crime
THROWING OBJECT AT MOVING VEHICLE,Vehicle-related Crime
TILL TAP - GRAND THEFT ($950.01 & OVER),Property Crime
TILL TAP - PETTY ($950 & UNDER),Other Crime
TRESPASSING,Public Order Crime
UNAUTHORIZED COMPUTER ACCESS,Financial Crime
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Property Crime
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Property Crime
VEHICLE - ATTEMPT STOLEN,Vehicle-related Crime
VEHICLE - STOLEN,Vehicle-related Crime
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Vehicle-related Crime
VIOLATION OF COURT ORDER,Public Order Crime
VIOLATION OF RESTRAINING ORDER,Public Order Crime
VIOLATION OF TEMPORARY RESTRAINING ORDER,Public Order Crime
WEAPONS POSSESSION/BOMBING,Weapon-related Crime
